 ,Label,Area,X,Y,BX,BY,Width,Height,Width,X
104,0.14;100%;1P;I02-1.tif,14.84,2105.286,360.191,2103.36,358.265,3.852,3.852,3.852,2105.286
105,0.14;100%;1P;I02-1.tif,89.042,2283.134,364.685,2276.714,358.265,11.557,11.557,11.557,2283.134
106,0.14;100%;1P;I02-1.tif,192.924,1438.837,369.673,1425.354,362.117,26.966,11.557,26.966,1438.837
107,0.14;100%;1P;I02-1.tif,14.84,2363.391,364.043,2361.465,362.117,3.852,3.852,3.852,2363.391
108,0.14;100%;1P;I02-1.tif,14.84,2301.754,367.895,2299.828,365.969,3.852,3.852,3.852,2301.754
109,0.14;100%;1P;I02-1.tif,14.84,2347.981,371.748,2346.055,369.822,3.852,3.852,3.852,2347.981
110,0.14;100%;1P;I02-1.tif,29.681,1720.055,377.526,1718.129,373.674,3.852,7.705,3.852,1720.055
111,0.14;100%;1P;I02-1.tif,222.604,3394.782,382.534,3382.326,373.674,23.114,15.409,23.114,3394.782
112,0.14;100%;1P;I02-1.tif,371.007,370.977,391.009,362.117,377.526,19.262,26.966,19.262,370.977
113,0.14;100%;1P;I02-1.tif,178.083,3470.608,386.194,3459.372,377.526,19.262,19.262,19.262,3470.608
114,0.14;100%;1P;I02-1.tif,14.84,1446.542,383.305,1444.615,381.378,3.852,3.852,3.852,1446.542
115,0.14;100%;1P;I02-1.tif,267.125,1543.705,395.932,1537.071,385.231,15.409,23.114,15.409,1543.705
116,0.14;100%;1P;I02-1.tif,29.681,2604.16,391.009,2600.308,389.083,7.705,3.852,7.705,2604.16
117,0.14;100%;1P;I02-1.tif,14.84,2012.831,394.862,2010.905,392.935,3.852,3.852,3.852,2012.831
118,0.14;100%;1P;I02-1.tif,29.681,943.815,404.492,939.963,400.64,7.705,7.705,7.705,943.815
119,0.14;100%;1P;I02-1.tif,29.681,1298.228,408.345,1294.375,404.492,7.705,7.705,7.705,1298.228
120,0.14;100%;1P;I02-1.tif,14.84,3214.751,410.271,3212.825,408.345,3.852,3.852,3.852,3214.751
121,0.14;100%;1P;I02-1.tif,118.722,597.589,428.088,589.403,423.754,19.262,7.705,19.262,597.589
122,0.14;100%;1P;I02-1.tif,59.361,2760.178,431.458,2754.4,427.606,11.557,7.705,11.557,2760.178
