 ,Label,Area,X,Y,BX,BY,Width,Height,3501.786,,distance from edge (nm),diamater(nm)
99,0.14;100%;1P;I05-1.tif,25.51,2860.714,187.5,2857.143,185.714,7.143,3.571,,,641.072,7.143
100,0.14;100%;1P;I05-1.tif,318.878,3152.643,199.071,3139.286,185.714,28.571,28.571,,,349.143,28.571
101,0.14;100%;1P;I05-1.tif,63.776,3358.929,188.929,3350,185.714,17.857,7.143,,,142.857,17.857
102,0.14;100%;1P;I05-1.tif,38.265,1564.881,197.024,1560.714,192.857,7.143,7.143,,,1936.905,7.143
103,0.14;100%;1P;I05-1.tif,12.755,1605.357,194.643,1603.571,192.857,3.571,3.571,,,1896.429,3.571
104,0.14;100%;1P;I05-1.tif,25.51,2764.286,194.643,2760.714,192.857,7.143,3.571,,,737.5,7.143
105,0.14;100%;1P;I05-1.tif,178.571,3053.827,201.02,3039.286,192.857,28.571,14.286,,,447.959,28.571
106,0.14;100%;1P;I05-1.tif,51.02,1312.5,200,1307.143,196.429,10.714,7.143,,,2189.286,10.714
107,0.14;100%;1P;I05-1.tif,25.51,310.714,201.786,307.143,200,7.143,3.571,,,3191.072,7.143
108,0.14;100%;1P;I05-1.tif,25.51,432.143,201.786,428.571,200,7.143,3.571,,,3069.643,7.143
109,0.14;100%;1P;I05-1.tif,12.755,844.643,201.786,842.857,200,3.571,3.571,,,2657.143,3.571
110,0.14;100%;1P;I05-1.tif,12.755,1151.786,201.786,1150,200,3.571,3.571,,,2350,3.571
111,0.14;100%;1P;I05-1.tif,165.816,1469.093,208.104,1460.714,200,17.857,14.286,,,2032.693,17.857
112,0.14;100%;1P;I05-1.tif,12.755,319.643,205.357,317.857,203.571,3.571,3.571,,,3182.143,3.571
113,0.14;100%;1P;I05-1.tif,12.755,562.5,205.357,560.714,203.571,3.571,3.571,,,2939.286,3.571
114,0.14;100%;1P;I05-1.tif,12.755,1805.357,205.357,1803.571,203.571,3.571,3.571,,,1696.429,3.571
115,0.14;100%;1P;I05-1.tif,12.755,201.786,208.929,200,207.143,3.571,3.571,,,3300,3.571
116,0.14;100%;1P;I05-1.tif,51.02,850,210.714,846.429,207.143,7.143,7.143,,,2651.786,7.143
117,0.14;100%;1P;I05-1.tif,12.755,1844.643,208.929,1842.857,207.143,3.571,3.571,,,1657.143,3.571
118,0.14;100%;1P;I05-1.tif,12.755,1951.786,208.929,1950,207.143,3.571,3.571,,,1550,3.571
119,0.14;100%;1P;I05-1.tif,38.265,769.643,212.5,764.286,210.714,10.714,3.571,,,2732.143,10.714
120,0.14;100%;1P;I05-1.tif,12.755,1808.929,212.5,1807.143,210.714,3.571,3.571,,,1692.857,3.571
121,0.14;100%;1P;I05-1.tif,12.755,141.071,216.071,139.286,214.286,3.571,3.571,,,3360.715,3.571
122,0.14;100%;1P;I05-1.tif,12.755,1033.929,216.071,1032.143,214.286,3.571,3.571,,,2467.857,3.571
123,0.14;100%;1P;I05-1.tif,63.776,1402.5,217.5,1396.429,214.286,10.714,7.143,,,2099.286,10.714
124,0.14;100%;1P;I05-1.tif,25.51,1957.143,216.071,1953.571,214.286,7.143,3.571,,,1544.643,7.143
125,0.14;100%;1P;I05-1.tif,12.755,2066.071,216.071,2064.286,214.286,3.571,3.571,,,1435.715,3.571
126,0.14;100%;1P;I05-1.tif,63.776,2456.071,218.214,2450,214.286,10.714,7.143,,,1045.715,10.714
127,0.14;100%;1P;I05-1.tif,2397.959,2987.5,242.135,2957.143,214.286,60.714,53.571,,,514.286,60.714
128,0.14;100%;1P;I05-1.tif,114.796,1443.849,232.738,1439.286,221.429,10.714,17.857,,,2057.937,10.714
129,0.14;100%;1P;I05-1.tif,12.755,2001.786,223.214,2000,221.429,3.571,3.571,,,1500,3.571
130,0.14;100%;1P;I05-1.tif,25.51,2178.571,223.214,2175,221.429,7.143,3.571,,,1323.215,7.143
