 ,Label,Area,X,Y,BX,BY,Width,Height
386,20231005-B-S-SP-down-I_01-1.tif,22.162,2001.791,766.923,1997.714,763.752,8.154,5.436
387,20231005-B-S-SP-down-I_01-1.tif,7.387,591.160,767.829,589.801,766.470,2.718,2.718
388,20231005-B-S-SP-down-I_01-1.tif,7.387,2770.979,767.829,2769.621,766.470,2.718,2.718
389,20231005-B-S-SP-down-I_01-1.tif,7.387,2047.997,773.265,2046.638,771.906,2.718,2.718
390,20231005-B-S-SP-down-I_01-1.tif,7.387,2401.334,773.265,2399.975,771.906,2.718,2.718
391,20231005-B-S-SP-down-I_01-1.tif,243.785,2649.494,782.160,2636.440,774.624,27.180,16.308
392,20231005-B-S-SP-down-I_01-1.tif,162.523,1514.285,787.967,1505.760,777.342,16.308,19.026
393,20231005-B-S-SP-down-I_01-1.tif,7.387,2545.387,778.701,2544.028,777.342,2.718,2.718
394,20231005-B-S-SP-down-I_01-1.tif,7.387,1504.401,784.137,1503.042,782.778,2.718,2.718
395,20231005-B-S-SP-down-I_01-1.tif,14.775,2011.304,784.137,2008.586,782.778,5.436,2.718
396,20231005-B-S-SP-down-I_01-1.tif,7.387,604.750,786.855,603.391,785.496,2.718,2.718
397,20231005-B-S-SP-down-I_01-1.tif,51.712,512.339,792.291,505.544,788.214,10.872,10.872
398,20231005-B-S-SP-down-I_01-1.tif,273.334,637.660,802.722,625.135,793.650,24.462,16.308
399,20231005-B-S-SP-down-I_01-1.tif,1410.995,814.234,814.319,793.650,793.650,40.770,43.488
400,20231005-B-S-SP-down-I_01-1.tif,7.387,2390.462,795.009,2389.103,793.650,2.718,2.718
401,20231005-B-S-SP-down-I_01-1.tif,22.162,1074.961,802.257,1070.884,799.086,8.154,5.436
402,20231005-B-S-SP-down-I_01-1.tif,169.910,2285.643,808.244,2277.666,799.086,16.308,16.308
403,20231005-B-S-SP-down-I_01-1.tif,7.387,2746.518,800.445,2745.159,799.086,2.718,2.718
404,20231005-B-S-SP-down-I_01-1.tif,199.460,489.287,811.518,481.082,801.804,16.308,19.026
405,20231005-B-S-SP-down-I_01-1.tif,7.387,901.010,805.881,899.651,804.522,2.718,2.718
406,20231005-B-S-SP-down-I_01-1.tif,7.387,974.395,805.881,973.036,804.522,2.718,2.718
407,20231005-B-S-SP-down-I_01-1.tif,1019.462,1788.824,824.985,1772.122,804.522,35.334,43.488
408,20231005-B-S-SP-down-I_01-1.tif,88.649,1073.602,812.676,1065.448,807.240,13.590,10.872
409,20231005-B-S-SP-down-I_01-1.tif,7.387,2591.593,808.599,2590.234,807.240,2.718,2.718
410,20231005-B-S-SP-down-I_01-1.tif,7.387,2754.672,808.599,2753.313,807.240,2.718,2.718
411,20231005-B-S-SP-down-I_01-1.tif,14.775,655.033,812.676,652.315,809.958,5.436,5.436
412,20231005-B-S-SP-down-I_01-1.tif,7.387,1064.089,811.317,1062.730,809.958,2.718,2.718
413,20231005-B-S-SP-down-I_01-1.tif,384.145,1419.726,824.750,1407.913,812.676,24.462,24.462
414,20231005-B-S-SP-down-I_01-1.tif,7.387,2026.253,819.471,2024.894,818.112,2.718,2.718
