Radii(nm)	Raw	1kp	2kp	4kp	4ks
115.	7.03214624563228e10	9.43408086544802e7	1.38279782190488e8	7.96695117480678e8	50403.4533851269
116.	1.20353683036677e7	6.91700924203746e7	1.35693716251072e8	7.33606082618184e8	33838.5401455951
117.	1.13075108806458e7	6.15142839727729e7	1.56731192499982e8	8.96577888865519e8	23926.1991927212
118.	9.46346445357458e6	6.31870624786873e7	1.90241784182596e8	1.55171725934555e9	17655.5827699125
119.	8.17588962133811e6	7.11667681195464e7	2.18242797795005e11	4.58455363106619e9	13504.8073532131
120.	8.38350209804339e6	8.65769019879706e7	8.32022383570252e8	3.13461775911085e11	10650.8750505797
121.	1.48549213928027e7	1.22610650803457e8	1.00530433597705e8	1.11792942456961e11	8623.9951661604
122.	5.43699369140877e7	3.04766417118805e8	3.64776569709478e7	5.96846504325439e9	7143.81454333119
123.	5.55485354613428e9	1.02258613824643e10	1.83030269792479e7	2.17438610657812e9	6036.66190302225
124.	5.31750040063961e10	1.12350211719249e8	1.09912433333488e7	9.61794966254626e8	5191.41214587587
125.	4.96857208208266e6	4.4480539509247e7	7.51731822318468e6	4.3520734372389e8	4534.83367600319
126.	3.0303522764781e6	2.41283456808145e7	5.75987912592247e6	2.07141438071288e8	4017.26336505927
127.	1.3041806623963e6	1.49088251730507e7	4.94700473866962e6	1.12324095788675e8	3604.01337156656
128.	675360.590098571	1.00082752080627e7	4.87115646345288e6	7.2842031696334e7	3270.10137615856
129.	398021.427861569	7.16060449151608e6	5.91238516582557e6	5.69954268410542e7	2996.98621850578
130.	256925.451247914	5.37098998885465e6	9.84216364806521e6	5.37582792590922e7	2770.55403702199
131.	177110.258608213	4.18280653978827e6	2.28199065562745e7	6.21812332651029e7	2579.90054122994
132.	128104.741200862	3.34676815874559e6	5.47859532902194e10	9.41539689216187e7	2416.61657971625
133.	95979.9169524717	2.71830241252249e6	5.91356672516045e10	2.30943061011878e8	2274.36833220067
134.	73794.9307346244	2.23287945953881e6	1.01494778709802e7	1.42602277167888e11	2148.61151225686
135.	57833.6626266244	1.8495105137975e6	3.1099997495937e6	5.69752463919187e10	2036.32399100964
136.	46004.9200687651	1.54347617564115e6	1.40919921193038e6	1.79711928086378e8	1935.69893446152
137.	37066.1491215306	1.29863772295579e6	786219.632675302	6.13816366684166e7	1845.800882613
138.	30229.3787130777	1.1024542067398e6	500254.715405421	3.34818774084134e7	1766.22642653473
139.	24962.0623739986	945437.872219922	352751.013175582	2.3196042654585e7	1696.81617201929
140.	20884.5894167566	822303.173584115	265075.387784849	1.89031882715753e7	1637.44443059381
141.	17716.3194380539	724789.447813478	209097.782305082	1.7533478513371e7	1587.8877401435
142.	15246.5363735702	647527.796644611	171564.636615472	1.82611589106015e7	1547.7575110274
143.	13316.1698073407	587055.650835921	145439.260038805	2.13279514927619e7	1516.47852164085
144.	11805.2923434448	539838.094226982	126769.68172412	2.82164088037199e7	1493.29877850296
145.	10623.7629299866	503077.015748691	113223.222831586	4.33928327988199e7	1477.32138651165
