Wavelength (nm)	Raw	1kp	2kp	4kp	4ks
783.9536133	0.057937309	0.010388102	0.164548695	0.396345943	-0.059433296
782.9780884	0.060245007	0.010243897	0.166353434	0.399476856	-0.05772629
782.0021973	0.061879229	0.009728307	0.166978419	0.403460771	-0.056598466
781.0258789	0.054708354	0.009811252	0.168876097	0.401151568	-0.058131289
780.0492554	0.055813592	0.011170425	0.167548448	0.404771775	-0.060423758
778.9326782	0.059501309	0.013501262	0.170004249	0.41024363	-0.059435464
777.9552002	0.064743534	0.011778845	0.170986846	0.414427578	-0.06148392
776.977417	0.056364007	0.013800764	0.172575116	0.417590529	-0.059391081
775.9992676	0.056547873	0.011650158	0.173726484	0.417877615	-0.060082886
775.020752	0.060379863	0.009566274	0.173736692	0.419357479	-0.061096922
774.0418701	0.062895462	0.014380746	0.178391218	0.42442289	-0.058433149
773.062561	0.060279001	0.011807944	0.175851464	0.423621297	-0.061146889
771.9429932	0.060578886	0.011636332	0.17794317	0.42844075	-0.060339466
770.9629517	0.064489193	0.007287438	0.182498738	0.429557592	-0.059321716
769.9825439	0.063445829	0.010637471	0.180787519	0.431824356	-0.059836574
769.00177	0.06132539	0.00767157	0.184951901	0.438003391	-0.058025714
768.0206299	0.069799647	0.011036448	0.187909618	0.44307816	-0.059587639
767.0391846	0.065380342	0.012931893	0.190197319	0.44750911	-0.057611819
766.057312	0.068596616	0.008870893	0.1918706	0.449633688	-0.060070399
764.9347534	0.065861449	0.003789703	0.190194994	0.452462643	-0.05986039
763.9521484	0.0651884	0.011893549	0.193593234	0.456323862	-0.057198577
762.9691162	0.064971805	0.009129677	0.194054455	0.459962934	-0.05948526
761.9857788	0.06939166	0.00714926	0.195703805	0.461741328	-0.059028924
761.0020752	0.068033576	0.010264094	0.195149973	0.466618627	-0.056888316
760.0180054	0.070207037	0.01031663	0.19623071	0.466976762	-0.057795864
759.0335693	0.067349546	0.008095996	0.195772782	0.467345804	-0.057746459
758.0488281	0.068421155	0.008015011	0.196785182	0.473362595	-0.055154245
757.0636597	0.072624639	0.014590307	0.199008033	0.474642396	-0.059723381
755.9373779	0.071903102	0.011622081	0.202680871	0.480008304	-0.055524521
