Radii(nm)	Raw	1kp	2kp	4kp	8kp	8ks
24.	6.49720821255024e9	1.21858616933268e11	7.61864816375248e9	4.93694906330184e7	7.42755833490389e12	1.1506345022431e9
25.	7.13674724558372e9	4.31694923051446e12	3.90855983901779e9	4.2824443041971e7	4.49750308790301e12	1.19168695559219e9
26.	8.87536619733317e9	2.74456201539735e13	2.49920455848106e9	3.77244802027714e7	3.52187427990416e11	1.28672337891842e9
27.	1.34529952803104e10	1.13438092620048e10	1.64541653737578e9	3.37614956899998e7	1.12784430665443e11	1.46305870470666e9
28.	2.76104702334182e10	5.68315662815948e9	1.11304095392819e9	3.06842295411599e7	5.78112665237599e10	1.78115999400842e9
29.	3.03695437020685e13	3.23040102783682e9	7.72587767460645e8	2.83933690176358e7	3.45137809157479e10	2.39281368361076e9
30.	1.07206540445833e13	1.82455004966998e9	5.5298085341055e8	2.68823016413429e7	2.1644502205508e10	3.77322142404587e9
31.	1.52210037685402e10	1.08273971531381e9	4.06414689998782e8	2.61123566991255e7	1.42730524400523e10	7.93610631932395e9
32.	5.0135939847074e9	6.88524750508696e8	3.06269056238153e8	2.61040999017125e7	9.80834206765154e9	2.84426030198546e10
33.	2.27300865444703e9	4.63198478812995e8	2.3570117996073e8	2.71170972189535e7	6.84430039008382e9	5.02483441560334e12
34.	1.24951798478847e9	3.27559932244877e8	1.8493832205867e8	2.91496513497749e7	4.93213894364267e9	1.63555615089576e12
35.	7.72638170642178e8	2.41232536671612e8	1.47596953792678e8	3.25213795895458e7	3.68933344869057e9	6.54610755122985e9
36.	5.16474436526463e8	1.83003236300938e8	1.19498118489341e8	3.80810801977715e7	2.86338284430202e9	8.67732858554532e8
37.	3.53117872191833e8	1.41163095766333e8	9.76988657516602e7	4.7303534094279e7	2.30052609370542e9	4.8841969256229e8
38.	2.54207146935583e8	1.12155740411336e8	8.06922250071466e7	6.39992624288367e7	1.90918458078835e9	3.6148171452402e8
39.	1.91967043790821e8	9.15984703639971e7	6.76503663131271e7	9.64564076866702e7	1.63402144182489e9	2.8360192426886e8
40.	1.51151574634242e8	7.61117719703407e7	5.77151364606329e7	1.73695146633478e8	1.44075742834968e9	2.27753916271225e8
