Radii(nm)	Raw	1kp	2kp	4kp	8kp	8ks
164.	3.29032409310376e8	2.19370089003135e10	2.56255425272782e9	799955.894932786	1.84399671412796e9	1.89052239540969e8
165.	4.43129982697954e8	2.51819956354413e11	5.54856607056859e10	830121.861383754	1.30100611411664e9	3.06781164271099e8
166.	6.16856130574581e8	4.01811798013335e10	9.82309765001304e10	888574.319093941	8.37215089044226e8	1.27141235426321e9
167.	1.07402246718631e9	3.65663428523827e10	7.72412697768259e8	985184.173706898	6.50610497742089e8	5.21511457984904e10
168.	1.40623563805722e11	3.25329029066798e10	7.91696720247086e8	1.13407996444074e6	6.86326484496681e8	1.63114300310078e10
169.	4.2472876389003e10	9.42217245584377e9	7.32064422051033e8	1.35152155463957e6	9.06974074815432e8	1.09600591625524e9
170.	1.24724217199761e9	1.82654869145066e9	7.27520432398083e8	1.6367256090164e6	1.49681344340357e9	3.80549282658666e8
171.	2.92303155607873e8	5.48407170982743e8	7.20117111605461e8	1.87971028154198e6	4.33963825014113e10	2.44994852169418e8
172.	1.9732262955902e8	2.62364393963286e8	6.73385511890685e8	1.79700701109805e6	2.07519553361961e10	1.55036123142174e8
173.	1.41466744716424e8	1.82964484158709e8	6.25976583688345e8	1.41359698702627e6	1.26851118503551e9	9.91697008471961e7
174.	1.49376535406545e8	2.03826366254626e8	7.5399852429138e8	1.03776835667433e6	1.03683356853713e9	1.26030142471768e8
175.	1.78120986830555e11	2.49166044811771e11	1.36624780425047e11	770416.56637869	1.13861871613876e10	1.99981609234491e10
